Age Range,Gender,Location,Language,Interest,Device Type,Online Purchase Behavior,Ad Engagement (Clicks/Views),Time Spent on Platform (mins),Page Likes,Ad Impressions,Recent Ad Interaction,Ad Placement,Ad Format,Lookalike Score
35-44,Non-binary,Texas,Hindi,Travel,Mobile,Occasional,79,21.4,7,19,Ignored,Stories,Video,0.88
25-34,Non-binary,California,French,Gaming,Desktop,Frequent,71,27.2,12,5,Viewed,Feed,Carousel,0.33
55+,Non-binary,California,French,Technology,Desktop,Frequent,80,20.1,15,13,Viewed,Stories,Image,0.16
25-34,Non-binary,Illinois,Spanish,Gaming,Tablet,Rare,31,33.6,7,38,Viewed,Messenger,Carousel,0.7
55+,Male,Texas,Chinese,Fitness,Mobile,Frequent,28,35.2,8,35,Clicked,Messenger,Image,0.35
25-34,Non-binary,Florida,English,Travel,Tablet,Frequent,12,12.7,12,4,Ignored,Messenger,Carousel,0.83
35-44,Non-binary,New York,Spanish,Technology,Tablet,Frequent,2,69.9,11,25,Viewed,Messenger,Video,0.99
45-54,Male,Illinois,Spanish,Food,Desktop,Frequent,53,25.4,7,45,Ignored,Messenger,Image,0.82
55+,Female,Florida,French,Technology,Desktop,Occasional,34,17.5,6,38,Ignored,Messenger,Image,0.11
25-34,Female,Florida,Chinese,Technology,Mobile,Occasional,57,5.3,17,41,Viewed,Feed,Image,0.93
35-44,Non-binary,California,Spanish,Food,Tablet,Occasional,61,17.7,9,41,Viewed,Stories,Image,0.51
18-24,Female,Illinois,Spanish,Technology,Desktop,Frequent,10,44.1,11,4,Ignored,Stories,Image,0.17
18-24,Female,Illinois,English,Food,Tablet,Occasional,17,30.9,7,39,Ignored,Feed,Image,0.2
55+,Female,California,Hindi,Food,Mobile,Occasional,55,33.4,16,45,Viewed,Feed,Video,0.47
45-54,Male,California,French,Gaming,Mobile,Frequent,73,82.6,9,21,Ignored,Stories,Image,0.73
45-54,Male,New York,Hindi,Food,Mobile,Occasional,27,7.3,12,22,Ignored,Messenger,Image,0.12
55+,Non-binary,Florida,Hindi,Travel,Tablet,Occasional,37,43.2,9,8,Ignored,Messenger,Carousel,0.58
25-34,Non-binary,Illinois,French,Fitness,Mobile,Rare,32,1.2,8,41,Ignored,Messenger,Video,0.94
18-24,Non-binary,California,English,Food,Tablet,Occasional,31,33.4,7,21,Ignored,Stories,Carousel,0.19
35-44,Male,California,French,Gaming,Mobile,Occasional,15,17.5,9,3,Ignored,Messenger,Image,0.45
55+,Non-binary,New York,French,Gaming,Mobile,Frequent,21,124.3,8,46,Viewed,Messenger,Video,0.48
18-24,Male,Texas,Chinese,Fitness,Desktop,Occasional,37,17.6,14,48,Ignored,Messenger,Image,0.83
25-34,Male,New York,Chinese,Gaming,Tablet,Rare,89,15.6,6,11,Ignored,Stories,Video,0.93
35-44,Male,Texas,French,Food,Desktop,Frequent,43,25.4,16,20,Ignored,Stories,Video,0.9
35-44,Female,Florida,English,Food,Mobile,Occasional,77,40.2,6,1,Clicked,Messenger,Image,0.7
55+,Non-binary,Texas,Chinese,Gaming,Tablet,Rare,87,24.2,11,7,Viewed,Feed,Image,0.84
18-24,Non-binary,Texas,Chinese,Fitness,Desktop,Frequent,60,9.5,11,38,Ignored,Feed,Carousel,0.67
45-54,Male,Texas,English,Travel,Mobile,Frequent,44,11.7,4,36,Viewed,Feed,Video,0.5
18-24,Non-binary,Texas,Spanish,Fitness,Tablet,Rare,24,12.3,10,41,Viewed,Stories,Video,0.85
35-44,Male,Florida,Spanish,Gaming,Mobile,Frequent,86,0.1,10,47,Ignored,Feed,Image,0.7
35-44,Non-binary,Florida,French,Gaming,Desktop,Frequent,82,17.2,9,22,Viewed,Feed,Image,0.71
18-24,Non-binary,California,French,Fitness,Desktop,Frequent,5,9.6,9,26,Viewed,Messenger,Image,0.06
18-24,Male,California,Spanish,Technology,Tablet,Occasional,60,67.7,10,45,Viewed,Stories,Carousel,0.19
25-34,Non-binary,Texas,Hindi,Technology,Desktop,Occasional,51,2,8,8,Viewed,Messenger,Image,0.9
35-44,Female,Texas,Hindi,Travel,Tablet,Frequent,98,35.4,8,40,Clicked,Feed,Video,0.58
55+,Male,New York,Hindi,Gaming,Tablet,Frequent,28,11.9,9,17,Viewed,Messenger,Image,0.92
18-24,Non-binary,Florida,English,Fitness,Tablet,Frequent,91,19.6,6,43,Viewed,Stories,Carousel,0.12
35-44,Male,California,French,Travel,Desktop,Occasional,28,25.8,10,41,Ignored,Feed,Carousel,0.35
35-44,Male,New York,Chinese,Food,Desktop,Frequent,17,22.1,9,34,Ignored,Stories,Video,0.17
55+,Male,Florida,Spanish,Food,Tablet,Rare,62,21,6,29,Ignored,Feed,Video,0.89
25-34,Non-binary,Texas,Hindi,Travel,Mobile,Occasional,30,37,8,28,Ignored,Stories,Carousel,0.36
18-24,Male,Florida,Chinese,Travel,Mobile,Frequent,20,19.2,11,19,Viewed,Stories,Carousel,0.55
18-24,Female,Texas,Hindi,Fitness,Mobile,Occasional,67,18.1,9,30,Viewed,Feed,Video,0.68
25-34,Female,Texas,French,Fitness,Desktop,Frequent,90,2.5,9,34,Clicked,Feed,Image,0.63
35-44,Male,New York,Hindi,Food,Desktop,Rare,70,26,10,32,Clicked,Messenger,Carousel,0.11
45-54,Female,Texas,Spanish,Travel,Desktop,Frequent,71,10.4,7,8,Clicked,Messenger,Video,0.02
55+,Male,New York,French,Technology,Tablet,Occasional,6,56,10,36,Clicked,Messenger,Video,0.98
45-54,Male,Illinois,Spanish,Technology,Mobile,Occasional,40,16.1,7,6,Viewed,Stories,Carousel,0.33
55+,Non-binary,New York,Chinese,Fitness,Desktop,Occasional,38,14.3,10,31,Viewed,Stories,Video,0.32
35-44,Non-binary,California,Chinese,Fitness,Mobile,Occasional,96,13,10,5,Viewed,Messenger,Video,0.56
18-24,Female,Texas,Spanish,Food,Tablet,Frequent,53,34.7,7,6,Clicked,Feed,Video,0.7
25-34,Non-binary,California,English,Technology,Tablet,Occasional,2,51.2,9,43,Clicked,Stories,Image,0.48
45-54,Male,California,Spanish,Travel,Tablet,Frequent,11,13.7,16,30,Viewed,Feed,Image,0.25
25-34,Male,Illinois,Chinese,Fitness,Tablet,Frequent,94,20.2,9,9,Clicked,Stories,Carousel,0.69
18-24,Non-binary,New York,English,Fitness,Mobile,Occasional,4,22.1,5,26,Clicked,Feed,Image,0.72
25-34,Non-binary,Illinois,English,Fitness,Tablet,Frequent,31,43.9,5,4,Viewed,Stories,Carousel,0.95
25-34,Non-binary,New York,English,Technology,Mobile,Occasional,52,20.2,6,48,Viewed,Feed,Video,0.39
45-54,Non-binary,Texas,Spanish,Travel,Mobile,Frequent,78,92.9,11,21,Ignored,Stories,Image,0.14
25-34,Female,Texas,French,Travel,Desktop,Rare,86,33,10,22,Clicked,Messenger,Image,0.9
45-54,Non-binary,Illinois,English,Food,Desktop,Occasional,64,52.9,10,5,Clicked,Messenger,Image,0.45
25-34,Male,Florida,Spanish,Fitness,Mobile,Frequent,2,20.1,10,4,Clicked,Stories,Video,0.45
55+,Male,New York,Spanish,Food,Tablet,Occasional,74,13.1,11,4,Ignored,Messenger,Video,0.62
45-54,Female,Texas,Hindi,Fitness,Tablet,Rare,11,1.5,13,49,Viewed,Messenger,Image,0.83
35-44,Non-binary,Texas,Spanish,Food,Tablet,Occasional,81,16.5,11,20,Clicked,Feed,Image,0.26
55+,Non-binary,California,Chinese,Gaming,Mobile,Frequent,14,8.8,14,47,Ignored,Feed,Carousel,0.32
25-34,Female,Florida,English,Food,Desktop,Rare,15,19.1,7,29,Ignored,Feed,Image,0.54
18-24,Female,California,French,Fitness,Mobile,Rare,45,52.4,8,18,Viewed,Messenger,Carousel,0.27
55+,Female,Texas,Hindi,Travel,Desktop,Frequent,1,30.3,6,19,Ignored,Messenger,Video,0.35
45-54,Non-binary,California,Hindi,Food,Tablet,Frequent,3,16.7,10,20,Viewed,Messenger,Carousel,0.03
45-54,Female,California,French,Travel,Mobile,Occasional,21,34.9,7,11,Clicked,Stories,Carousel,0.25
55+,Non-binary,Illinois,French,Fitness,Mobile,Frequent,41,0,16,26,Clicked,Messenger,Video,0.47
18-24,Male,Florida,Hindi,Gaming,Desktop,Occasional,46,16,7,15,Viewed,Stories,Video,0.38
35-44,Non-binary,Florida,English,Travel,Mobile,Occasional,17,10.4,10,37,Viewed,Feed,Carousel,0.54
25-34,Non-binary,New York,English,Technology,Desktop,Frequent,57,13,10,17,Clicked,Feed,Image,0.65
55+,Non-binary,Florida,French,Gaming,Desktop,Occasional,29,38.9,10,34,Viewed,Feed,Image,0.47
25-34,Male,Florida,Chinese,Travel,Desktop,Frequent,49,1.9,11,11,Ignored,Messenger,Video,0.85
35-44,Female,Florida,English,Technology,Mobile,Frequent,12,27.8,14,30,Viewed,Stories,Video,0.42
25-34,Male,Texas,French,Technology,Tablet,Occasional,59,53.3,11,21,Clicked,Messenger,Video,0.99
18-24,Non-binary,Florida,Chinese,Technology,Tablet,Frequent,32,49.1,9,26,Viewed,Messenger,Image,0.24
35-44,Female,California,Hindi,Technology,Tablet,Rare,14,79.2,12,46,Ignored,Feed,Carousel,0.84
55+,Non-binary,Florida,Spanish,Gaming,Mobile,Frequent,36,6.9,7,41,Clicked,Messenger,Carousel,0.12
45-54,Male,Texas,English,Travel,Tablet,Occasional,29,2.8,10,25,Clicked,Stories,Video,0.44
18-24,Non-binary,California,French,Food,Desktop,Occasional,5,10.5,11,17,Ignored,Messenger,Image,0.49
45-54,Female,Texas,Hindi,Food,Tablet,Frequent,86,22.3,7,2,Viewed,Messenger,Video,0.62
45-54,Non-binary,Florida,Chinese,Gaming,Mobile,Occasional,39,37.6,11,24,Viewed,Stories,Carousel,0.27
25-34,Female,California,English,Fitness,Mobile,Rare,86,2.9,13,38,Clicked,Stories,Image,0.02
18-24,Female,California,Spanish,Food,Desktop,Frequent,20,17.2,11,38,Viewed,Stories,Carousel,0.58
18-24,Non-binary,New York,Hindi,Gaming,Tablet,Rare,98,5.3,9,4,Viewed,Feed,Image,0.08
45-54,Male,California,French,Travel,Mobile,Frequent,9,3.1,16,39,Clicked,Feed,Carousel,0.39
35-44,Non-binary,New York,Spanish,Gaming,Desktop,Rare,47,2.6,13,44,Viewed,Stories,Video,0.98
45-54,Non-binary,California,Chinese,Gaming,Mobile,Occasional,8,47,12,43,Ignored,Stories,Image,0.01
35-44,Male,Texas,English,Technology,Tablet,Occasional,63,3.6,10,30,Clicked,Messenger,Image,0.94
55+,Male,California,Spanish,Gaming,Desktop,Occasional,53,53.3,15,41,Viewed,Messenger,Video,0.78
25-34,Non-binary,New York,Spanish,Travel,Mobile,Frequent,17,118.2,10,48,Clicked,Stories,Image,0.98
35-44,Male,Illinois,French,Food,Mobile,Occasional,39,33.9,10,24,Ignored,Stories,Image,0.31
25-34,Female,New York,Spanish,Travel,Tablet,Frequent,23,1,19,46,Clicked,Feed,Carousel,0.42
45-54,Non-binary,Illinois,Hindi,Fitness,Mobile,Frequent,60,40.4,8,9,Clicked,Stories,Carousel,0.29
35-44,Male,Texas,French,Travel,Tablet,Frequent,38,161.9,6,24,Clicked,Messenger,Carousel,0.4
45-54,Female,Illinois,Chinese,Food,Mobile,Frequent,94,22.7,7,6,Ignored,Stories,Video,0.69
45-54,Non-binary,Florida,French,Technology,Desktop,Frequent,24,80.7,8,1,Ignored,Feed,Carousel,0.1
25-34,Female,New York,Spanish,Gaming,Desktop,Occasional,75,11.7,6,23,Viewed,Feed,Image,0.17
55+,Female,California,French,Food,Tablet,Rare,12,18.5,10,25,Clicked,Feed,Carousel,0.49
18-24,Non-binary,California,English,Food,Mobile,Occasional,82,14.6,11,47,Viewed,Feed,Carousel,0.94
55+,Non-binary,Texas,English,Food,Tablet,Frequent,82,52.4,11,48,Viewed,Feed,Carousel,0.45
45-54,Non-binary,Florida,Chinese,Technology,Mobile,Occasional,70,43.5,12,17,Clicked,Feed,Video,0.26
55+,Non-binary,Illinois,English,Technology,Mobile,Occasional,63,59.2,4,33,Clicked,Messenger,Carousel,0.13
25-34,Non-binary,Texas,French,Gaming,Desktop,Occasional,89,41,7,24,Viewed,Messenger,Image,0.73
18-24,Female,Texas,English,Technology,Desktop,Frequent,46,115.1,12,23,Ignored,Stories,Image,0.78
18-24,Non-binary,Texas,English,Gaming,Tablet,Occasional,94,1.3,9,25,Ignored,Messenger,Video,0.5
18-24,Non-binary,New York,Hindi,Travel,Mobile,Frequent,22,107.3,9,1,Clicked,Stories,Video,0.13
45-54,Female,Illinois,English,Fitness,Desktop,Frequent,31,17.1,10,16,Clicked,Stories,Image,0.21
45-54,Male,New York,English,Fitness,Mobile,Occasional,93,103,8,6,Clicked,Stories,Video,0.6
55+,Non-binary,Texas,Hindi,Technology,Mobile,Occasional,67,1.4,11,21,Clicked,Feed,Carousel,0.38
45-54,Female,Illinois,French,Technology,Mobile,Frequent,14,36.3,10,30,Ignored,Stories,Video,0.72
25-34,Male,New York,Hindi,Gaming,Tablet,Occasional,60,66.1,7,38,Ignored,Feed,Image,0.8
45-54,Male,Texas,Spanish,Gaming,Tablet,Frequent,47,6.5,11,11,Clicked,Stories,Carousel,0.74
35-44,Female,Florida,English,Food,Desktop,Rare,94,9.7,9,47,Ignored,Messenger,Image,0.27
55+,Female,California,Spanish,Travel,Mobile,Occasional,52,11.9,5,2,Viewed,Stories,Carousel,0.42
55+,Male,California,Spanish,Travel,Mobile,Rare,88,49,11,44,Ignored,Messenger,Video,0.34
25-34,Non-binary,Texas,Hindi,Food,Mobile,Frequent,30,32.9,9,48,Viewed,Feed,Video,0.47
25-34,Non-binary,Florida,Spanish,Travel,Desktop,Occasional,62,110.1,9,13,Viewed,Messenger,Carousel,0.12
18-24,Female,Florida,English,Gaming,Desktop,Occasional,72,4.1,13,8,Clicked,Feed,Video,0.61
45-54,Non-binary,California,Spanish,Technology,Desktop,Rare,54,86,10,16,Clicked,Feed,Video,0.23
55+,Male,Texas,French,Travel,Desktop,Frequent,80,1.6,7,18,Clicked,Stories,Image,0.02
35-44,Female,Texas,Hindi,Travel,Desktop,Rare,13,28.7,5,31,Clicked,Messenger,Image,0.37
55+,Male,California,Chinese,Food,Tablet,Occasional,70,3.3,7,15,Viewed,Stories,Carousel,0.05
55+,Male,Texas,Hindi,Travel,Mobile,Frequent,87,4.9,10,9,Ignored,Messenger,Carousel,0.59
35-44,Non-binary,Florida,English,Technology,Mobile,Occasional,54,66.4,12,46,Viewed,Feed,Image,0.04
18-24,Non-binary,California,English,Travel,Mobile,Occasional,23,75.6,11,14,Viewed,Stories,Image,0.53
25-34,Non-binary,Florida,Hindi,Gaming,Desktop,Frequent,57,36.5,7,15,Ignored,Feed,Carousel,0
18-24,Non-binary,Texas,Chinese,Food,Tablet,Rare,10,23.6,7,27,Clicked,Feed,Carousel,0.8
45-54,Non-binary,New York,Spanish,Travel,Desktop,Occasional,6,15.2,17,8,Clicked,Stories,Video,0.53
35-44,Female,Texas,Hindi,Fitness,Mobile,Occasional,57,80.4,9,42,Ignored,Feed,Image,0.73
45-54,Male,Illinois,Chinese,Travel,Mobile,Rare,73,9.5,14,8,Clicked,Feed,Image,0.73
45-54,Male,Florida,Hindi,Food,Mobile,Occasional,29,5.1,10,26,Viewed,Feed,Video,0.57
18-24,Non-binary,Florida,Hindi,Technology,Tablet,Occasional,8,50.2,8,26,Clicked,Feed,Video,0.01
55+,Female,California,Hindi,Fitness,Desktop,Frequent,86,55.8,7,33,Viewed,Feed,Video,0.84
18-24,Female,Texas,French,Food,Tablet,Occasional,18,53.5,7,32,Clicked,Messenger,Carousel,0.92
18-24,Female,Texas,Hindi,Fitness,Desktop,Frequent,5,3.6,14,38,Ignored,Stories,Carousel,0.64
55+,Female,Florida,Spanish,Technology,Tablet,Frequent,96,19.7,9,16,Viewed,Stories,Video,0.77
25-34,Female,Texas,Chinese,Gaming,Tablet,Occasional,45,3.7,5,8,Clicked,Stories,Carousel,0.56
25-34,Male,California,Spanish,Technology,Tablet,Frequent,51,52.8,11,7,Ignored,Messenger,Video,0.3
35-44,Non-binary,Illinois,French,Technology,Tablet,Occasional,42,19.2,7,30,Ignored,Messenger,Video,0.13
25-34,Male,Florida,Chinese,Food,Tablet,Frequent,14,15.9,9,32,Clicked,Messenger,Image,0.6
25-34,Non-binary,New York,Chinese,Food,Desktop,Frequent,76,11.1,9,42,Ignored,Feed,Carousel,0.24
35-44,Female,California,Spanish,Gaming,Mobile,Occasional,81,52.9,9,11,Viewed,Stories,Carousel,0.96
25-34,Male,Florida,English,Technology,Mobile,Occasional,14,120,9,27,Viewed,Messenger,Video,0.39
45-54,Male,Illinois,Hindi,Gaming,Mobile,Frequent,11,52,8,25,Ignored,Stories,Image,0.16
35-44,Female,Texas,Chinese,Fitness,Tablet,Occasional,62,6.3,13,20,Viewed,Messenger,Image,0.81
55+,Non-binary,Texas,Chinese,Gaming,Desktop,Rare,4,4,10,17,Ignored,Stories,Image,0.48
25-34,Female,Texas,Hindi,Technology,Tablet,Occasional,7,24.4,12,7,Viewed,Feed,Video,0.04
55+,Male,Illinois,Spanish,Food,Desktop,Occasional,68,62.7,9,22,Clicked,Stories,Carousel,0.05
18-24,Non-binary,Illinois,English,Food,Desktop,Occasional,11,10.6,5,10,Clicked,Messenger,Image,0.16
35-44,Non-binary,New York,Chinese,Technology,Tablet,Rare,30,18,7,38,Viewed,Messenger,Image,0.87
55+,Non-binary,California,Spanish,Gaming,Tablet,Occasional,42,5,10,5,Clicked,Stories,Video,0.65
18-24,Male,Florida,Hindi,Gaming,Desktop,Rare,1,11.8,5,16,Viewed,Stories,Carousel,0.94
35-44,Non-binary,California,Spanish,Travel,Mobile,Occasional,78,7.1,9,11,Viewed,Messenger,Image,0
55+,Non-binary,Illinois,Spanish,Food,Tablet,Frequent,5,13.7,5,26,Ignored,Messenger,Carousel,0.3
45-54,Female,California,English,Fitness,Desktop,Frequent,21,11.3,10,28,Ignored,Feed,Video,0.71
18-24,Non-binary,Illinois,Spanish,Gaming,Tablet,Occasional,35,15.3,11,13,Viewed,Stories,Carousel,0.69
25-34,Non-binary,Florida,English,Technology,Mobile,Frequent,56,28,5,39,Ignored,Feed,Video,0.72
55+,Male,California,Spanish,Fitness,Tablet,Frequent,64,80.1,8,47,Viewed,Feed,Carousel,0.02
25-34,Non-binary,Texas,English,Food,Mobile,Occasional,52,0.5,9,44,Ignored,Feed,Carousel,0.12
45-54,Non-binary,Illinois,Spanish,Food,Mobile,Frequent,97,16.8,13,36,Viewed,Stories,Video,0.41
55+,Non-binary,Illinois,Spanish,Technology,Mobile,Occasional,79,53.1,16,3,Clicked,Stories,Image,0.59
35-44,Non-binary,Texas,Hindi,Travel,Mobile,Frequent,85,11.7,8,21,Viewed,Stories,Image,0.06
18-24,Female,Illinois,Chinese,Food,Mobile,Frequent,28,68.9,13,10,Ignored,Stories,Image,0.52
45-54,Male,Florida,French,Fitness,Mobile,Occasional,59,22,10,40,Viewed,Feed,Carousel,0.63
18-24,Female,Texas,Chinese,Gaming,Mobile,Occasional,72,44.1,17,16,Clicked,Feed,Image,0.12
55+,Male,California,Spanish,Technology,Desktop,Frequent,17,1.3,10,30,Clicked,Messenger,Video,0.2
55+,Male,California,English,Food,Tablet,Occasional,25,29.1,9,33,Ignored,Stories,Video,0.11
45-54,Female,New York,English,Technology,Mobile,Rare,68,12.4,7,5,Viewed,Feed,Image,0.01
55+,Female,Texas,Chinese,Gaming,Desktop,Rare,23,41.5,14,39,Clicked,Messenger,Carousel,0.87
25-34,Male,Florida,English,Fitness,Mobile,Rare,75,30.8,10,7,Clicked,Feed,Carousel,0.31
45-54,Male,California,English,Travel,Mobile,Occasional,22,16,14,18,Clicked,Feed,Carousel,0.13
45-54,Male,California,Spanish,Technology,Tablet,Occasional,2,47.2,10,21,Viewed,Messenger,Video,0.23
25-34,Female,Illinois,Chinese,Gaming,Mobile,Frequent,25,13.7,5,42,Ignored,Messenger,Carousel,0.35
45-54,Female,California,English,Food,Mobile,Rare,59,3.6,11,25,Viewed,Messenger,Image,0.95
25-34,Female,New York,Spanish,Food,Desktop,Frequent,23,52.7,6,43,Viewed,Messenger,Image,0.11
35-44,Female,Florida,English,Fitness,Desktop,Frequent,33,0.4,7,43,Ignored,Feed,Carousel,0.56
35-44,Female,Florida,Hindi,Travel,Desktop,Occasional,35,107.1,8,43,Ignored,Feed,Video,0.84
18-24,Non-binary,Texas,Chinese,Gaming,Tablet,Frequent,56,92.1,15,23,Viewed,Messenger,Image,0.26
35-44,Female,New York,French,Gaming,Desktop,Frequent,71,19.6,13,33,Viewed,Feed,Image,0.73
45-54,Female,Texas,French,Food,Tablet,Occasional,1,16.2,7,28,Ignored,Messenger,Carousel,0.26
55+,Male,Florida,Spanish,Gaming,Desktop,Frequent,65,23.9,8,48,Clicked,Feed,Video,0.17
35-44,Female,Illinois,English,Technology,Tablet,Occasional,47,0.5,5,38,Clicked,Feed,Video,0.28
25-34,Female,Florida,English,Food,Desktop,Frequent,31,21.7,9,2,Viewed,Feed,Video,0.29
18-24,Female,California,French,Gaming,Desktop,Occasional,67,45.1,8,32,Viewed,Feed,Carousel,0.6
45-54,Female,Texas,French,Travel,Desktop,Occasional,70,12.2,6,19,Clicked,Feed,Video,0.88
25-34,Male,Texas,Spanish,Food,Tablet,Occasional,85,58.3,7,23,Ignored,Messenger,Image,0.72
18-24,Male,New York,Spanish,Fitness,Mobile,Occasional,50,5.7,10,34,Ignored,Feed,Carousel,0.91
55+,Male,California,Spanish,Travel,Tablet,Frequent,76,3.4,8,5,Viewed,Feed,Image,0.26
55+,Female,New York,French,Food,Desktop,Frequent,82,23.2,9,47,Viewed,Feed,Video,0.14
25-34,Male,Texas,Hindi,Technology,Tablet,Rare,27,2.5,13,37,Viewed,Messenger,Image,0.63
45-54,Non-binary,California,English,Technology,Mobile,Rare,77,26.6,10,19,Viewed,Messenger,Image,0.91
55+,Female,Florida,English,Travel,Mobile,Frequent,52,1,4,15,Ignored,Feed,Video,0.07
25-34,Non-binary,California,Hindi,Gaming,Tablet,Frequent,79,19.9,11,5,Ignored,Feed,Carousel,0.64
35-44,Female,Illinois,English,Fitness,Desktop,Frequent,49,71.6,10,15,Ignored,Stories,Video,0.34
55+,Male,Florida,French,Travel,Tablet,Frequent,40,23.7,14,49,Ignored,Stories,Carousel,0.03
45-54,Female,Texas,Hindi,Travel,Desktop,Frequent,87,3.1,8,11,Clicked,Messenger,Carousel,0.6
18-24,Male,Illinois,French,Food,Tablet,Frequent,50,2.4,16,21,Viewed,Feed,Image,0.28
35-44,Non-binary,Illinois,French,Travel,Tablet,Frequent,51,5.7,15,13,Ignored,Feed,Image,0.57
18-24,Non-binary,Florida,Spanish,Food,Tablet,Frequent,33,64.8,7,6,Clicked,Feed,Video,0.44
45-54,Female,New York,Spanish,Food,Tablet,Frequent,71,11.3,11,23,Clicked,Messenger,Image,0.56
45-54,Male,Florida,Chinese,Gaming,Desktop,Occasional,23,20,8,25,Clicked,Messenger,Carousel,0.11
25-34,Female,Illinois,French,Fitness,Desktop,Frequent,31,25.1,7,45,Ignored,Stories,Video,0.21
55+,Female,Illinois,Spanish,Food,Mobile,Frequent,47,95.3,11,15,Ignored,Feed,Carousel,0.72
45-54,Female,New York,Chinese,Travel,Mobile,Occasional,63,35.4,9,27,Clicked,Stories,Video,0.74
55+,Male,Illinois,Chinese,Fitness,Desktop,Frequent,32,15.4,11,20,Clicked,Messenger,Carousel,0.6
35-44,Non-binary,New York,French,Fitness,Tablet,Rare,20,14.5,9,14,Clicked,Feed,Video,0.27
35-44,Male,California,Hindi,Technology,Mobile,Rare,89,118.5,8,1,Clicked,Feed,Image,0.84
45-54,Male,California,French,Travel,Mobile,Occasional,20,61.4,9,8,Viewed,Feed,Carousel,0.7
35-44,Male,California,English,Food,Tablet,Occasional,97,28,15,24,Viewed,Stories,Carousel,0.83
45-54,Non-binary,Illinois,Hindi,Fitness,Mobile,Frequent,80,0,7,39,Viewed,Messenger,Video,0.93
35-44,Non-binary,Texas,Spanish,Travel,Mobile,Frequent,7,30.5,7,33,Ignored,Feed,Image,0.47
35-44,Non-binary,California,Spanish,Travel,Desktop,Rare,48,3.5,11,11,Viewed,Feed,Video,0.35
18-24,Male,Florida,English,Fitness,Tablet,Frequent,97,74.5,8,1,Ignored,Messenger,Carousel,0.02
18-24,Non-binary,Texas,English,Travel,Desktop,Rare,73,33.1,10,43,Ignored,Messenger,Video,0.4
25-34,Male,New York,English,Food,Tablet,Occasional,90,14.6,10,12,Clicked,Messenger,Carousel,0.15
25-34,Female,California,Chinese,Travel,Mobile,Frequent,59,28.8,8,28,Ignored,Feed,Video,0.02
35-44,Male,New York,English,Technology,Desktop,Frequent,28,25.7,9,19,Ignored,Stories,Carousel,0.34
25-34,Non-binary,Texas,Chinese,Fitness,Tablet,Rare,88,19,7,29,Clicked,Messenger,Carousel,0.54
55+,Female,Florida,Chinese,Gaming,Mobile,Frequent,42,31.4,9,6,Ignored,Stories,Image,0.76
45-54,Non-binary,Florida,Hindi,Food,Desktop,Frequent,8,15.9,6,9,Ignored,Stories,Video,0.86
45-54,Non-binary,Illinois,English,Gaming,Desktop,Frequent,85,76.3,5,16,Clicked,Messenger,Image,0.73
45-54,Male,Texas,Chinese,Travel,Desktop,Frequent,41,13.6,10,31,Viewed,Stories,Image,0.73
18-24,Female,California,English,Travel,Tablet,Frequent,99,3.2,11,11,Viewed,Stories,Carousel,0.31
45-54,Male,New York,French,Technology,Desktop,Occasional,71,72.1,5,12,Viewed,Stories,Image,0.86
25-34,Female,California,Hindi,Gaming,Tablet,Frequent,47,13.9,11,40,Viewed,Messenger,Video,0.28
55+,Non-binary,Illinois,Chinese,Gaming,Mobile,Occasional,22,0.5,8,10,Viewed,Stories,Carousel,0.38
45-54,Female,Illinois,English,Food,Mobile,Frequent,29,37.2,11,31,Viewed,Stories,Image,0.21
35-44,Female,California,Hindi,Fitness,Mobile,Frequent,76,14.7,11,25,Clicked,Stories,Video,0.19
25-34,Male,California,Hindi,Fitness,Mobile,Frequent,32,3.5,14,25,Viewed,Stories,Image,0.15
55+,Female,New York,Hindi,Travel,Mobile,Rare,59,24.7,13,12,Ignored,Stories,Carousel,0.16
35-44,Non-binary,New York,French,Food,Tablet,Occasional,88,9.5,7,15,Ignored,Messenger,Video,0.59
25-34,Male,California,Chinese,Gaming,Desktop,Rare,77,18.2,12,5,Viewed,Stories,Video,0.61
18-24,Non-binary,Illinois,Spanish,Gaming,Desktop,Occasional,25,47.5,17,17,Ignored,Stories,Image,0.41
35-44,Non-binary,Florida,English,Food,Tablet,Frequent,99,0.1,9,22,Viewed,Feed,Video,0.19
18-24,Male,New York,Hindi,Food,Mobile,Occasional,94,14.2,9,43,Ignored,Feed,Carousel,0.39
55+,Non-binary,Florida,Spanish,Travel,Mobile,Rare,77,22.4,11,46,Ignored,Feed,Carousel,0.32
55+,Female,Texas,French,Technology,Tablet,Rare,31,31,7,46,Ignored,Messenger,Video,0.5
55+,Non-binary,Illinois,Hindi,Food,Mobile,Occasional,42,11.4,10,4,Viewed,Feed,Video,0.58
55+,Non-binary,California,Spanish,Fitness,Desktop,Rare,99,46.6,8,23,Ignored,Feed,Video,0.5
55+,Male,California,Spanish,Food,Desktop,Occasional,43,97.8,16,11,Clicked,Feed,Video,0.86
55+,Non-binary,Illinois,Spanish,Travel,Mobile,Frequent,80,34.5,11,30,Clicked,Feed,Carousel,0.45
55+,Female,New York,Chinese,Gaming,Desktop,Rare,7,23.6,5,44,Viewed,Feed,Image,0.42
35-44,Female,California,Hindi,Technology,Mobile,Occasional,63,29,6,21,Ignored,Messenger,Video,0.75
18-24,Non-binary,Florida,Chinese,Gaming,Desktop,Frequent,38,0,3,40,Ignored,Feed,Video,0.03
